Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
55014-23407,PF,P.J.,P.J. Tucker,Tucker,15.05185163,27,3500,HOU@CLE,HOU,CLE,GTD,Quadriceps,
55014-9589,PF,Udonis,Udonis Haslem,Haslem,7.925000191,4,3500,TOR@MIA,MIA,TOR,,,
55014-66424,C,Justin,Justin Patton,Patton,20.20000076,1,3500,HOU@CLE,HOU,CLE,,,
55014-15744,SG,Rodney,Rodney McGruder,McGruder,5.349999905,8,3500,DET@NO,DET,NO,,,
55014-15762,SF,Darius,Darius Miller,Miller,7.416666667,12,3500,SA@OKC,OKC,SA,,,
55014-145303,SG,Skylar,Skylar Mays,Mays,6.738461421,13,3500,BOS@ATL,ATL,BOS,,,
55014-145819,SF,Naji,Naji Marshall,Marshall,1.633333365,3,3500,DET@NO,NO,DET,,,
55014-115612,SF,Kelan,Kelan Martin,Martin,2.654545524,11,3500,GS@IND,IND,GS,,,
55014-145311,SG,Grant,Grant Riller,Riller,,,3500,CHA@PHO,CHA,PHO,,,
55014-58270,PG,Edmond,Edmond Sumner,Sumner,7.262499809,16,3500,GS@IND,IND,GS,,,
55014-145309,C,Udoka,Udoka Azubuike,Azubuike,3.299999873,12,3500,LAL@UTA,UTA,LAL,O,Ankle,
55014-145821,SF,Josh,Josh Hall,Hall,4.185714177,7,3500,SA@OKC,OKC,SA,,,
55014-145314,SF,Precious,Precious Achiuwa,Achiuwa,13.51935504,31,3500,TOR@MIA,MIA,TOR,,,
55014-145315,SF,Elijah,Elijah Hughes,Hughes,4.549999873,6,3500,LAL@UTA,UTA,LAL,,,
55014-145312,PF,Vernon,Vernon Carey,Carey,3.700000127,3,3500,CHA@PHO,CHA,PHO,,,
55014-145318,C,Nick,Nick Richards,Richards,2.150000095,8,3500,CHA@PHO,CHA,PHO,,,
55014-145322,PF,Jalen,Jalen Smith,Smith,4.25,8,3500,CHA@PHO,PHO,CHA,,,
55014-145323,PG,Tre,Tre Jones,Jones,2.477777693,9,3500,SA@OKC,SA,OKC,,,
55014-145324,SG,Devin,Devin Vassell,Vassell,14.869231,26,3500,SA@OKC,SA,OKC,O,Covid-19,
55014-9655,SF,JJ,JJ Redick,Redick,11.7962963,27,3500,DET@NO,NO,DET,,,
55014-80824,PG,Frank,Frank Jackson,Jackson,4.550000191,8,3500,DET@NO,DET,NO,,,
55014-145342,SG,Cassius,Cassius Stanley,Stanley,2.200000048,8,3500,GS@IND,IND,GS,,,
55014-145343,PG,Jalen,Jalen Harris,Harris,0.100000001,2,3500,TOR@MIA,TOR,MIA,GTD,Finger,
55014-9664,SG,Andre,Andre Iguodala,Iguodala,15.69999958,29,3500,TOR@MIA,MIA,TOR,,,
55014-145344,PG,Malachi,Malachi Flynn,Flynn,5.21333313,15,3500,TOR@MIA,TOR,MIA,,,
55014-145345,PG,Nico,Nico Mannion,Mannion,6.766666412,6,3500,GS@IND,GS,IND,GTD,Quadriceps,
55014-145354,SG,Devon,Devon Dotson,Dotson,5.199999809,1,3500,MIN@CHI,CHI,MIN,,,
55014-145352,SG,Trent,Trent Forrest,Forrest,2.379999924,5,3500,LAL@UTA,UTA,LAL,,,
55014-9677,SF,Jared,Jared Dudley,Dudley,1.885714258,7,3500,LAL@UTA,LAL,UTA,,,
55014-145357,PF,Lamar,Lamar Stevens,Stevens,10.93809509,21,3500,HOU@CLE,CLE,HOU,,,
55014-85466,PF,Wenyen,Wenyen Gabriel,Gabriel,1.875,4,3500,DET@NO,NO,DET,,,
55014-116202,PG,Jalen,Jalen Lecque,Lecque,4.26666673,3,3500,GS@IND,IND,GS,,,
55014-58350,SF,Stanley,Stanley Johnson,Johnson,10.08928571,28,3500,TOR@MIA,TOR,MIA,,,
55014-63478,C,Cristiano,Cristiano Felicio,Felicio,5.983333588,6,3500,MIN@CHI,CHI,MIN,,,
55014-96763,PG,Brandon,Brandon Goodwin,Goodwin,9.213043213,23,3500,BOS@ATL,ATL,BOS,,,
